prompt,gt,pred,generated_text
"Sentence: I wonder what city that Romans destroyed.
Linguistically acceptable: no

Sentence: He seems enough intelligent for you.
Linguistically acceptable: no

Sentence: Did he try ever to talk to the student?
Linguistically acceptable: no

Sentence: Ellen conferred Helen.
Linguistically acceptable: no

Sentence: The tuna will be eaten.
Linguistically acceptable: yes

Sentence: John is afraid of dogs.
Linguistically acceptable: yes

Sentence: a pencil with which to write broke.
Linguistically acceptable: yes

Sentence: It rains.
Linguistically acceptable: yes

Sentence: The sailors rode the breeze clear of the rocks.
Linguistically acceptable: ",1,1,<b>yes</b>
"Sentence: Any lion is generally majestic.
Linguistically acceptable: no

Sentence: They will do come.
Linguistically acceptable: no

Sentence: Which poem did you hear Homer's recital of last night?
Linguistically acceptable: no

Sentence: Leslie staffed employees in the store.
Linguistically acceptable: no

Sentence: Catherine did not eat.
Linguistically acceptable: yes

Sentence: The sofa was longer than the desk was.
Linguistically acceptable: yes

Sentence: In English, the main verb agrees with the head element of the subject.
Linguistically acceptable: yes

Sentence: Willy is taller than Bill by 7 millimeters.
Linguistically acceptable: yes

Sentence: The weights made the rope stretch over the pulley.
Linguistically acceptable: ",1,0,<b>no</b>
"Sentence: We elected my father, who had just turned 60, president.
Linguistically acceptable: no

Sentence: The president appointed press secretary to Smith.
Linguistically acceptable: no

Sentence: I emptied it with butter.
Linguistically acceptable: no

Sentence: Has that we have arrived back at our starting point proved that the world is round?
Linguistically acceptable: no

Sentence: Enrico, and he is the smartest of us all, got the answer in seven seconds.
Linguistically acceptable: yes

Sentence: My uncle visited today.
Linguistically acceptable: yes

Sentence: I took a snooze.
Linguistically acceptable: yes

Sentence: a. Madeleine planned to catch the sardines and she did.
Linguistically acceptable: yes

Sentence: The mechanical doll wriggled itself loose.
Linguistically acceptable: ",1,0,<b>no</b>
"Sentence: Mary claimed that eat cabbage, Holly made me.
Linguistically acceptable: no

Sentence: He are the only person that I can rely on.
Linguistically acceptable: no

Sentence: Chris said that himself was angry.
Linguistically acceptable: no

Sentence: Gilgamesh not left.
Linguistically acceptable: no

Sentence: Jack is claiming you won't need it.
Linguistically acceptable: yes

Sentence: Stephen persuaded Ben to be careful.
Linguistically acceptable: yes

Sentence: I'm sorry that anybody hates me.
Linguistically acceptable: yes

Sentence: That they have completed the course is amazing.
Linguistically acceptable: yes

Sentence: If you had eaten more, you would want less.
Linguistically acceptable: ",1,0,<b>no</b>
"Sentence: Him book
Linguistically acceptable: no

Sentence: There appeared the ship on the horizon.
Linguistically acceptable: no

Sentence: There ran many people.
Linguistically acceptable: no

Sentence: Any lion is rare.
Linguistically acceptable: no

Sentence: I've never seen a man taller than my father.
Linguistically acceptable: yes

Sentence: I know I bought the book that you recommended.
Linguistically acceptable: yes

Sentence: The potatoes baked.
Linguistically acceptable: yes

Sentence: We love them.
Linguistically acceptable: yes

Sentence: As you eat the most, you want the least.
Linguistically acceptable: ",0,0,<b>no</b>
"Sentence: Bill likes herself.
Linguistically acceptable: no

Sentence: The more food Mary knows a man that eats the poorer she gets.
Linguistically acceptable: no

Sentence: Did that John showed up please you?
Linguistically acceptable: no

Sentence: John is eager to find.
Linguistically acceptable: no

Sentence: I climbed right up the tree.
Linguistically acceptable: yes

Sentence: He might maybe do that, mightn't he?
Linguistically acceptable: yes

Sentence: John can go to the market on his bike.
Linguistically acceptable: yes

Sentence: Herman hammered the metal flat.
Linguistically acceptable: yes

Sentence: The more you would want, the less you would eat.
Linguistically acceptable: ",0,0,<b>no</b>
"Sentence: The bears sniffs
Linguistically acceptable: no

Sentence: Lecturer was sitting at her desk.
Linguistically acceptable: no

Sentence: One of the story has appeared in your newspaper.
Linguistically acceptable: no

Sentence: Carrie touched at the cat.
Linguistically acceptable: no

Sentence: David ate mangoes and Raffi should too.
Linguistically acceptable: yes

Sentence: Tom locked Fido in the garage.
Linguistically acceptable: yes

Sentence: I want to sing
Linguistically acceptable: yes

Sentence: Mary loves him.
Linguistically acceptable: yes

Sentence: I demand that the more John eat, the more he pays.
Linguistically acceptable: ",0,1,<strong>yes</strong>
"Sentence: The drunk and the lamppost hugged.
Linguistically acceptable: no

Sentence: Myself shaved me.
Linguistically acceptable: no

Sentence: The king banished at the general from the army.
Linguistically acceptable: no

Sentence: Paula hit the sticks.
Linguistically acceptable: no

Sentence: Sonatas are difficult to play on this violin.
Linguistically acceptable: yes

Sentence: John talked to every woman who came up to him.
Linguistically acceptable: yes

Sentence: He seems intelligent enough for you.
Linguistically acceptable: yes

Sentence: I went out with a girl who it pleased that John showed up.
Linguistically acceptable: yes

Sentence: Mary listens to the Grateful Dead, she gets depressed.
Linguistically acceptable: ",1,0,<b>no</b>
"Sentence: Truman visited yesterday you.
Linguistically acceptable: no

Sentence: John made Mary to cook Korean food.
Linguistically acceptable: no

Sentence: Connie has become of the opinion that we should get out.
Linguistically acceptable: no

Sentence: I wonder who Bill saw and liked Mary.
Linguistically acceptable: no

Sentence: Which boy's guardian's employer did we elect president?.
Linguistically acceptable: yes

Sentence: I saw him leaving the main building.
Linguistically acceptable: yes

Sentence: John liked anything that was placed before him.
Linguistically acceptable: yes

Sentence: The piano kicked a student.
Linguistically acceptable: yes

Sentence: The angrier Mary got, the more she looked at pictures.
Linguistically acceptable: ",1,0,<b>no</b>
"Sentence: Her efficient looking of the answer up pleased the boss.
Linguistically acceptable: no

Sentence: John heard that they criticized each other.
Linguistically acceptable: no

Sentence: I read some book.
Linguistically acceptable: no

Sentence: Mary wonders that John said if Bill left.
Linguistically acceptable: no

Sentence: The truck rumbled into the driveway.
Linguistically acceptable: yes

Sentence: Kim alienated cats and beats his dog.
Linguistically acceptable: yes

Sentence: You may pick any of the flowers.
Linguistically acceptable: yes

Sentence: Bill went to London on Monday.
Linguistically acceptable: yes

Sentence: The higher the stakes, the lower his expectations are.
Linguistically acceptable: ",1,0,<b>no</b>
